Comment,Designator,Footprint,LCSC Part #
,Q2,PJQ4431EP-AU,
,X9,W237-102,
0,R8 R9,RESC3216X70,
0ZCF0150FF2C0ZCF_BEL,F1 F2 F3,0ZCF_BEL,
1k,R6,RESC3216X70,
10k,R4 R7,RESC3216X70,
10uF/50V(20%),C1 C2,CAPC3216X135,
330,R5,RESC3216X70,
470,R1 R2 R3,RESC3216X70,
C-GRID-03-70553,X1 X2 X3,70553-03,
CF-LD-1DC4-AR2W,S2,CFLD1DC4AR2W,
ESP32-S3-DEVKITC-1-N8R2,ESP32,XCVR_ESP32-S3-DEVKITC-1-N8R2,
LD1086DT50TR,U1,DPAK,
LED_RED,D1 D2 D3 D4,LEDC3216X75N_FLAT-R,
MOMENTARY-SWITCH-SPST-PTH-6.0MM,S1,TACTILE_SWITCH_PTH_6.0MM,
SN74AHCT125DR,U2,SOIC127P600X175-14N,
SS8050,Q1,SOT95P237X112-3N,
WS2812B,D5 D6 D7 D8 D9 D10 D11 D12 D13,WS2812B,
